property_id,property_type,bhk,bathrooms,balcony,floor_number,total_floors,area_sqft,property_age,furnished_status,parking_availability,city,area,locality,pincode,hospital_distance_km,school_distance_km,metro_distance_km,mall_distance_km,airport_distance_km,population_density,crime_index,infrastructure_growth_score,price
16,Plot,3,3,2.0,5,30,1206,13,Semi Furnished,Yes,Delhi,East,Dwarka,319997,0.9,0.3,13.8,10.6,13.1,9322,,22.4,8910000.0
17,Independent House,3,3,2.0,0,18,1048,9,Semi Furnished,Yes,Bangalore,Central,HSR Layout,372682,3.4,4.5,1.8,16.1,9.8,5997,35.2,70.4,18863000.0
18,Penthouse,2,1,2.0,25,34,910,0,Fully Furnished,Yes,Chennai,East,Velachery,741367,1.1,0.1,1.6,0.3,24.2,7445,,56.3,28945000.0
19,Villa,1,1,1.0,6,7,591,0,Semi Furnished,No,Bangalore,Central,HSR Layout,940201,10.3,0.9,6.5,1.6,1.6,4136,30.0,61.4,12966000.0
20,Apartment,4,4,,4,27,1469,1,Semi Furnished,Yes,Delhi,West,Vasant Kunj,132380,5.3,3.2,6.2,5.9,56.7,11034,59.2,77.7,22602000.0
21,Apartment,2,1,0.0,2,3,966,12,Unfurnished,No,Pune,Central,Hadapsar,719158,2.6,0.6,2.7,11.0,14.8,4293,24.9,35.6,7149000.0
22,Apartment,5,5,0.0,5,7,1669,1,Semi Furnished,No,Mumbai,South,Thane,201544,2.5,1.2,3.3,1.5,30.6,20899,27.1,49.4,39333000.0
23,Apartment,4,4,2.0,5,21,1391,1,Semi Furnished,Yes,Delhi,West,Dwarka,669335,3.8,3.5,0.9,10.7,48.1,10507,52.5,52.5,24475000.0
24,Villa,3,3,1.0,4,9,1114,9,Fully Furnished,No,Bangalore,North,Electronic City,244483,3.9,2.4,5.2,5.8,15.1,3541,43.2,77.7,21969000.0
25,Apartment,2,2,0.0,22,22,803,6,Semi Furnished,Yes,Hyderabad,West,Madhapur,528504,0.1,4.5,3.8,1.9,41.3,2896,63.5,28.7,7975000.0
26,Apartment,3,4,2.0,23,29,1102,11,Unfurnished,Yes,Ahmedabad,North,Bopal,410384,0.3,1.0,0.1,1.1,22.4,7526,36.8,70.8,10455000.0
27,Apartment,2,2,2.0,1,26,938,4,Unfurnished,No,Delhi,Central,Lajpat Nagar,240974,0.7,1.4,,8.7,26.9,10608,37.1,44.1,12818000.0
28,Apartment,2,2,1.0,30,32,1056,10,Unfurnished,Yes,Hyderabad,West,HITEC City,445472,1.5,5.6,2.0,8.7,23.5,4976,56.1,43.3,11397000.0
29,Apartment,4,4,1.0,1,11,1445,3,Unfurnished,Yes,Chennai,South,OMR,710772,0.1,1.9,6.4,2.6,20.0,7527,29.9,35.7,11368000.0
30,Apartment,3,3,2.0,34,38,1207,1,Semi Furnished,Yes,Mumbai,North,Bandra,825636,2.4,6.1,5.3,4.3,43.4,19939,46.2,51.1,37100000.0
31,Independent House,3,3,2.0,12,17,1141,7,Semi Furnished,Yes,Pune,West,Hadapsar,966497,14.1,1.1,4.2,1.8,35.7,7180,3.0,69.9,17394000.0
32,Apartment,4,4,2.0,4,4,1442,3,Unfurnished,No,Delhi,Central,Lajpat Nagar,422683,3.3,2.9,8.5,9.9,27.2,11890,45.5,50.6,18084000.0
33,Independent House,2,1,1.0,22,30,728,20,Fully Furnished,Yes,Mumbai,West,Borivali,946685,10.7,4.6,2.0,9.8,18.3,19928,61.7,59.7,20986000.0
34,Apartment,3,3,0.0,27,27,1092,8,Unfurnished,Yes,Noida,North,Sector 62,400415,2.7,2.2,1.8,0.7,23.7,5121,26.9,57.8,11476000.0
35,Apartment,3,3,0.0,5,15,1206,10,Unfurnished,Yes,Noida,East,Sector 18,260100,0.1,0.1,3.3,1.9,15.1,7266,26.6,,9194000.0
36,Independent House,3,3,1.0,13,20,1207,0,Unfurnished,Yes,Ahmedabad,West,Bopal,785795,,4.6,1.1,11.4,4.4,6402,61.7,51.6,12066000.0
37,Villa,4,5,1.0,3,33,1356,4,Unfurnished,Yes,Bangalore,North,Koramangala,502260,0.7,0.1,0.3,1.3,22.3,5806,84.3,,27816000.0
38,Apartment,5,4,3.0,24,30,1545,11,Unfurnished,No,Mumbai,North,Thane,869569,0.8,0.7,1.3,3.3,38.7,19641,48.5,49.5,37447000.0
39,Plot,3,4,2.0,3,5,1144,24,Fully Furnished,Yes,Kolkata,West,Howrah,156115,1.3,1.5,17.5,4.6,25.1,24584,18.6,61.2,5235000.0
40,Apartment,3,3,2.0,4,8,1115,14,Fully Furnished,Yes,Hyderabad,Central,Banjara Hills,308215,3.3,0.4,2.0,19.6,23.7,3898,60.9,61.0,11294000.0
41,Apartment,3,3,1.0,0,18,1225,1,Semi Furnished,Yes,Mumbai,Central,Navi Mumbai,594588,0.7,0.5,6.8,0.1,17.9,22607,34.2,47.5,25060000.0
42,Independent House,3,4,,13,21,1206,16,Semi Furnished,Yes,Hyderabad,East,Banjara Hills,517408,2.3,0.1,5.5,12.3,5.2,4715,56.8,70.1,14447000.0
43,Independent House,3,3,1.0,13,38,1273,10,Semi Furnished,No,Mumbai,East,Juhu,949799,0.5,1.6,1.9,1.7,11.8,21545,29.3,34.6,35690000.0
44,Apartment,2,2,0.0,4,5,988,10,Semi Furnished,Yes,Jaipur,East,Malviya Nagar,403144,2.1,7.1,2.7,0.7,40.3,6457,65.2,68.4,5650000.0
45,Apartment,1,1,2.0,0,12,628,12,Fully Furnished,Yes,Delhi,South,Dwarka,962859,,2.4,1.3,4.6,10.9,11247,38.5,54.0,9573000.0
46,Plot,5,5,2.0,9,19,1677,1,Semi Furnished,Yes,Pune,East,Hadapsar,524806,1.9,0.4,0.4,0.2,40.6,3954,69.0,59.1,14146000.0
47,Apartment,2,3,3.0,27,40,1062,3,Fully Furnished,Yes,Bangalore,Central,Whitefield,399464,5.3,1.5,2.1,7.3,20.5,2845,29.9,33.9,16982000.0
48,Apartment,3,3,2.0,6,31,1117,0,Unfurnished,No,Chennai,West,Porur,218953,1.9,1.2,4.3,11.2,21.9,6611,54.0,60.3,12069000.0
49,Apartment,4,5,3.0,6,35,1413,0,Fully Furnished,No,Chennai,West,Adyar,125797,1.2,0.6,7.1,6.4,29.9,7493,53.7,84.7,17875000.0
50,Plot,2,2,3.0,1,15,899,13,Unfurnished,Yes,Delhi,South,Rohini,585760,4.7,0.9,15.0,2.3,27.2,11095,47.4,78.7,7904000.0
51,Apartment,3,3,3.0,18,23,1151,9,Semi Furnished,Yes,Noida,North,Sector 62,721526,3.1,0.2,,1.6,31.0,5639,33.7,47.2,12679000.0
52,Independent House,2,2,2.0,31,37,830,3,Unfurnished,Yes,Ahmedabad,Central,Satellite,325250,10.5,2.9,7.9,3.4,3.0,4943,62.9,89.1,9047000.0
53,Villa,5,5,1.0,1,24,1754,4,Unfurnished,Yes,Noida,East,Sector 50,898371,2.9,1.3,2.9,2.5,41.6,6556,52.7,39.5,21415000.0
54,Apartment,1,1,1.0,17,32,576,1,Fully Furnished,No,Jaipur,West,Mansarovar,322352,7.4,1.1,0.1,6.6,26.4,5512,67.4,44.5,5015000.0
55,Independent House,3,3,3.0,0,25,1298,4,Fully Furnished,Yes,Chennai,South,Porur,456538,0.1,0.8,4.4,9.2,33.4,6556,61.6,60.7,15567000.0
56,Penthouse,3,3,1.0,23,29,1281,1,Fully Furnished,Yes,Noida,Central,Sector 62,734584,2.7,5.4,2.3,1.0,10.8,6839,38.4,74.3,35737000.0
57,Apartment,4,4,0.0,0,6,1420,5,Semi Furnished,No,Mumbai,Central,Powai,836770,4.2,0.2,3.5,1.6,20.1,19243,31.3,41.6,30084000.0
58,Apartment,2,2,1.0,9,26,900,12,Fully Furnished,Yes,Delhi,East,Rohini,841007,12.2,0.5,3.4,1.7,34.4,12291,,45.5,11581000.0
59,Plot,3,3,2.0,13,18,1087,14,Semi Furnished,Yes,Mumbai,Central,Andheri,306174,0.1,1.5,1.9,0.6,18.7,22207,41.7,13.0,14195000.0
60,Villa,2,2,3.0,5,10,905,4,Fully Furnished,Yes,Bangalore,North,HSR Layout,766821,1.6,7.1,4.4,2.8,29.6,4459,33.8,52.5,19511000.0
61,Apartment,2,3,1.0,2,5,986,15,Fully Furnished,Yes,Bangalore,South,Indiranagar,403826,1.5,8.2,11.6,2.3,8.0,2756,42.9,61.6,10895000.0
62,Villa,4,4,1.0,1,9,1345,9,Fully Furnished,No,Delhi,Central,Dwarka,976241,9.1,2.0,5.1,7.9,18.0,12446,29.2,54.1,31438000.0
63,Independent House,1,1,2.0,1,31,767,17,Unfurnished,Yes,Ahmedabad,East,Satellite,883612,1.0,0.9,0.1,18.6,23.8,7180,71.3,76.4,5789000.0
64,Independent House,3,3,2.0,14,26,1232,14,Fully Furnished,No,Bangalore,East,Koramangala,393921,2.5,0.1,,13.9,2.9,3787,57.2,64.5,20981000.0
65,Plot,4,4,0.0,9,16,1391,4,Fully Furnished,Yes,Delhi,East,Rohini,771905,2.7,0.6,0.7,2.5,41.4,10208,24.8,61.1,20890000.0
66,Apartment,4,4,3.0,23,25,1463,3,Unfurnished,Yes,Chennai,Central,Anna Nagar,680965,2.7,1.4,,4.3,29.4,8711,34.6,50.4,19532000.0
67,Apartment,3,3,2.0,31,33,1076,12,Fully Furnished,Yes,Mumbai,North,Worli,728344,0.2,3.8,1.7,13.3,42.2,19272,35.6,34.1,27292000.0
68,Villa,2,2,0.0,9,35,891,9,Semi Furnished,Yes,Ahmedabad,South,Prahlad Nagar,623298,,0.1,1.5,2.2,29.1,6178,47.2,74.3,11042000.0
69,Apartment,3,3,0.0,9,14,1327,1,Semi Furnished,No,Mumbai,Central,Bandra,265481,2.0,3.0,3.8,0.1,31.8,20637,73.3,44.8,29312000.0
70,Villa,5,4,0.0,6,16,1745,0,Semi Furnished,Yes,Noida,South,Sector 62,390371,2.3,0.4,5.8,2.2,19.2,4575,40.4,74.6,26495000.0
71,Apartment,4,4,2.0,15,16,1439,6,Semi Furnished,Yes,Ahmedabad,West,Maninagar,344456,0.7,4.2,9.8,8.8,15.5,7574,61.4,46.0,9105000.0
72,Apartment,3,3,1.0,4,17,1155,20,Fully Furnished,Yes,Delhi,Central,Pitampura,160568,0.8,0.6,13.9,4.0,1.0,10743,47.8,35.0,12665000.0
73,Apartment,5,5,1.0,6,7,1644,1,Semi Furnished,No,Mumbai,South,Bandra,810741,0.8,3.3,0.3,2.2,22.2,21484,39.2,59.1,44631000.0
74,Villa,4,3,1.0,20,40,1397,7,Fully Furnished,Yes,Ahmedabad,South,Satellite,490032,1.2,2.1,0.1,1.5,35.4,4646,42.9,48.0,20152000.0
75,Independent House,4,4,2.0,0,6,1338,2,Unfurnished,No,Kolkata,West,Behala,649338,3.1,4.8,1.1,3.0,32.4,23289,71.5,52.0,12352000.0
76,Apartment,3,4,0.0,2,6,1202,4,Unfurnished,Yes,Kolkata,North,Howrah,199051,4.0,0.5,0.1,0.7,46.9,24768,66.1,62.9,10106000.0
77,Apartment,4,4,2.0,16,30,1483,1,Fully Furnished,Yes,Ahmedabad,West,Bopal,289964,0.4,0.2,3.8,8.7,11.9,5806,23.2,34.6,12348000.0
78,Apartment,4,4,1.0,0,7,1379,1,Fully Furnished,Yes,Mumbai,North,Borivali,256298,6.3,0.1,2.7,8.8,25.6,22106,48.8,25.5,30778000.0
79,Independent House,2,2,3.0,6,8,937,3,Fully Furnished,No,Bangalore,West,Electronic City,671185,0.1,1.8,0.7,11.2,18.0,3061,31.3,51.4,20751000.0
80,Apartment,5,6,2.0,8,17,1591,4,Unfurnished,No,Mumbai,Central,Thane,200789,3.4,0.6,4.5,5.4,34.7,19803,44.9,33.6,31737000.0
81,Villa,2,2,0.0,3,38,894,6,Fully Furnished,No,Jaipur,North,C-Scheme,455408,3.3,0.1,14.0,4.5,16.2,7000,54.3,42.7,8603000.0
82,Apartment,3,2,1.0,7,7,1082,9,Semi Furnished,Yes,Pune,Central,Baner,608756,2.8,0.5,0.3,30.0,37.3,5493,0.0,49.9,13140000.0
83,Apartment,4,4,1.0,28,36,1381,4,Semi Furnished,No,Bangalore,West,Indiranagar,940670,3.9,0.1,0.5,11.9,23.0,4499,29.6,67.4,29253000.0
84,Independent House,3,3,2.0,8,37,1159,13,Fully Furnished,No,Mumbai,South,Powai,407467,3.9,1.9,11.7,4.0,19.9,21269,51.2,48.1,30427000.0
85,Apartment,4,3,2.0,0,1,1448,0,Semi Furnished,Yes,Bangalore,North,Indiranagar,906238,1.2,0.5,5.3,2.6,11.4,5918,64.9,67.5,16684000.0
86,Apartment,3,3,2.0,0,10,1100,3,Semi Furnished,No,Bangalore,West,Whitefield,244482,3.1,4.0,0.2,0.2,34.8,3667,67.6,53.4,14594000.0
87,Apartment,2,2,0.0,18,18,938,21,Fully Furnished,No,Kolkata,South,Salt Lake,109754,2.1,3.3,3.8,0.2,26.3,25363,23.4,52.6,6266000.0
88,Apartment,1,1,0.0,4,10,573,1,Unfurnished,No,Pune,Central,Baner,866260,0.3,0.9,0.6,0.9,25.5,6084,35.8,53.9,6812000.0
89,Apartment,3,3,2.0,3,6,1175,1,Semi Furnished,Yes,Jaipur,Central,Malviya Nagar,600038,7.6,1.3,7.3,0.4,1.0,6218,59.5,38.0,6705000.0
90,Apartment,3,3,2.0,3,19,1326,7,Unfurnished,Yes,Hyderabad,West,Banjara Hills,282175,0.8,0.5,3.4,13.9,2.6,2319,32.4,65.5,14263000.0
91,Independent House,2,2,2.0,6,12,870,9,Semi Furnished,No,Mumbai,East,Juhu,681422,8.1,0.7,2.3,14.1,46.1,19427,44.3,54.8,26097000.0
92,Independent House,3,3,1.0,2,4,1043,1,Unfurnished,No,Kolkata,North,New Town,263936,3.4,1.3,0.9,1.5,15.8,24785,22.3,50.7,12087000.0
93,Independent House,2,2,3.0,17,17,971,1,Unfurnished,Yes,Ahmedabad,South,Bopal,157769,5.9,0.2,2.9,2.0,24.0,5399,38.3,59.8,10949000.0
94,Apartment,4,4,1.0,27,35,1422,3,Semi Furnished,Yes,Chennai,West,Porur,980880,0.4,1.1,10.5,2.4,31.5,6890,45.1,9.0,14495000.0
95,Villa,1,1,1.0,11,22,686,11,Fully Furnished,Yes,Ahmedabad,East,Bopal,216835,2.1,1.7,5.6,0.9,29.6,4458,28.0,81.6,8987000.0
96,Villa,3,3,1.0,2,20,1251,3,Fully Furnished,Yes,Hyderabad,South,Banjara Hills,658005,,0.8,10.9,0.2,16.7,1815,19.3,65.4,25106000.0
97,Apartment,2,3,0.0,22,27,843,6,Semi Furnished,Yes,Chennai,West,Porur,526613,1.7,3.1,3.5,1.7,8.1,6457,67.6,75.5,9842000.0
98,Villa,1,1,2.0,5,10,595,5,Semi Furnished,Yes,Bangalore,East,HSR Layout,404320,0.4,2.1,20.1,4.5,29.4,4474,48.6,33.6,9755000.0
99,Penthouse,4,4,0.0,8,11,1443,11,Semi Furnished,Yes,Mumbai,East,Thane,590641,5.5,2.2,4.3,3.4,17.0,21655,57.5,43.6,52085000.0
100,Apartment,3,2,1.0,4,13,1233,17,Semi Furnished,No,Mumbai,South,Thane,176868,8.5,4.0,3.1,3.5,1.0,19249,52.4,55.3,21181000.0
101,Plot,3,4,0.0,20,22,1168,6,Semi Furnished,Yes,Mumbai,North,Thane,857183,4.5,0.3,12.7,2.8,18.6,20364,61.2,67.2,21019000.0
102,Apartment,3,4,0.0,4,15,1144,13,Fully Furnished,Yes,Pune,West,Wakad,528795,0.1,0.7,0.9,2.6,23.0,6505,27.5,77.5,12746000.0
103,Apartment,3,3,3.0,8,29,1175,2,Fully Furnished,Yes,Bangalore,Central,Indiranagar,601020,1.8,0.1,0.4,1.1,21.5,5567,57.4,61.3,18316000.0
104,Apartment,3,2,2.0,0,11,1208,2,Semi Furnished,Yes,Hyderabad,East,HITEC City,910911,6.1,0.3,15.8,4.1,29.9,5010,36.1,29.5,10939000.0
105,Villa,4,5,1.0,22,26,1284,9,Fully Furnished,No,Jaipur,West,C-Scheme,824905,,2.1,0.1,2.2,26.8,8251,43.9,46.4,15942000.0
106,Apartment,3,2,1.0,1,1,1070,31,Fully Furnished,No,Delhi,East,Lajpat Nagar,397721,14.3,3.3,3.1,8.0,12.6,10025,58.9,42.2,12068000.0
107,Plot,2,2,3.0,7,27,892,1,Fully Furnished,No,Bangalore,South,HSR Layout,270133,0.8,2.0,0.1,2.5,27.6,5982,56.2,29.9,8753000.0
108,Independent House,2,2,2.0,16,26,955,0,Unfurnished,No,Kolkata,West,New Town,519920,4.4,0.8,4.3,3.6,26.9,25093,49.4,61.6,10320000.0
109,Villa,4,4,2.0,5,34,1573,1,Fully Furnished,No,Delhi,Central,Vasant Kunj,149695,0.9,4.0,3.2,4.7,36.5,12751,56.8,57.1,41318000.0
110,Apartment,5,5,2.0,16,29,1640,8,Fully Furnished,No,Mumbai,South,Navi Mumbai,916487,1.6,5.0,5.7,5.8,26.0,21243,74.6,41.9,34658000.0
111,Penthouse,2,2,2.0,0,2,919,18,Unfurnished,No,Delhi,South,Vasant Kunj,605647,7.0,0.3,4.6,5.6,37.8,10248,34.1,36.9,18321000.0
112,Independent House,2,3,1.0,18,35,846,2,Fully Furnished,Yes,Delhi,Central,Dwarka,250803,2.5,1.7,5.5,5.7,21.7,11330,69.3,69.8,18964000.0
113,Apartment,2,2,2.0,4,8,952,1,Unfurnished,No,Noida,East,Sector 50,521128,5.3,0.3,2.9,1.5,10.7,6952,53.2,70.1,9683000.0
114,Independent House,3,3,2.0,6,22,1062,1,Semi Furnished,No,Ahmedabad,West,SG Highway,971656,13.4,0.3,0.1,2.2,24.3,6191,56.1,68.3,12454000.0
115,Villa,2,1,3.0,9,11,899,0,Fully Furnished,Yes,Pune,Central,Hadapsar,560531,0.6,2.0,1.3,5.6,12.1,4913,60.8,52.8,17694000.0
116,Villa,4,4,1.0,0,1,1323,8,Fully Furnished,No,Jaipur,South,Jagatpura,936726,2.3,1.7,6.3,0.9,23.2,8649,41.9,56.7,12304000.0
117,Apartment,4,3,1.0,5,5,1231,1,Unfurnished,No,Ahmedabad,North,SG Highway,579862,1.7,0.4,1.4,7.0,5.1,7530,43.3,52.6,8927000.0
118,Apartment,5,6,1.0,0,6,1865,24,Semi Furnished,Yes,Delhi,South,Pitampura,817175,0.9,0.4,0.1,0.6,18.2,11930,83.2,61.3,20994000.0
119,Apartment,1,2,2.0,18,23,714,14,Semi Furnished,No,Jaipur,East,Malviya Nagar,903441,3.5,3.0,2.0,3.3,26.8,8553,41.4,22.9,4363000.0
120,Apartment,5,4,2.0,31,34,1714,6,Fully Furnished,No,Chennai,Central,Porur,394656,3.6,0.4,2.3,1.0,31.3,7855,50.4,58.3,24501000.0
121,Villa,3,3,1.0,9,39,1222,9,Unfurnished,No,Ahmedabad,West,Satellite,996456,1.5,1.6,,1.0,17.7,5770,58.2,81.2,14667000.0
122,Penthouse,2,2,2.0,34,36,1014,7,Unfurnished,No,Jaipur,East,Malviya Nagar,362015,0.2,7.2,5.4,2.3,24.1,7602,54.2,45.0,13694000.0
123,Penthouse,3,3,2.0,2,18,1162,31,Fully Furnished,No,Bangalore,East,Indiranagar,280685,4.7,0.5,2.1,0.7,30.0,2724,52.0,39.0,23230000.0
124,Villa,3,3,1.0,27,39,1219,0,Unfurnished,No,Mumbai,South,Borivali,926978,2.2,2.6,1.1,4.2,34.1,22344,34.2,54.0,62716000.0
125,Villa,5,4,1.0,3,3,1609,15,Unfurnished,No,Delhi,East,Dwarka,426150,1.0,2.3,4.5,3.3,39.4,12379,51.1,59.9,28201000.0
126,Apartment,2,2,3.0,18,33,886,7,Unfurnished,No,Bangalore,North,Electronic City,341966,4.1,2.0,2.4,7.2,33.9,5178,58.2,35.4,11326000.0
127,Villa,2,2,2.0,4,13,777,5,Fully Furnished,Yes,Ahmedabad,Central,Prahlad Nagar,729157,1.5,3.2,4.1,8.3,36.8,6480,56.8,74.4,9735000.0
128,Apartment,3,2,2.0,2,37,1166,3,Fully Furnished,Yes,Jaipur,South,Vaishali Nagar,263307,2.1,1.5,3.2,8.3,25.1,5900,48.4,41.0,7072000.0
129,Apartment,5,5,3.0,15,29,1607,33,Unfurnished,No,Mumbai,West,Borivali,141032,1.2,2.3,5.8,0.4,4.7,21961,69.7,48.6,25869000.0
130,Villa,5,5,1.0,28,30,1639,12,Fully Furnished,No,Hyderabad,South,Gachibowli,649109,0.6,1.5,,2.6,29.7,3220,54.2,33.1,28981000.0
131,Apartment,2,2,1.0,6,15,966,0,Unfurnished,Yes,Bangalore,South,Electronic City,734937,4.4,2.1,3.2,6.4,11.8,4630,50.7,49.9,12342000.0
132,Apartment,2,2,1.0,0,3,924,0,Unfurnished,Yes,Delhi,South,Lajpat Nagar,510933,10.2,0.4,0.3,0.4,27.8,12845,75.5,58.7,15595000.0
133,Independent House,4,4,1.0,11,13,1482,9,Semi Furnished,Yes,Mumbai,West,Borivali,518042,8.1,0.6,6.1,5.0,9.6,21727,37.1,37.9,35811000.0
134,Apartment,3,2,2.0,5,22,1102,5,Fully Furnished,Yes,Bangalore,West,Whitefield,134657,3.4,1.5,9.4,3.7,51.3,4153,43.3,39.4,12743000.0
135,Apartment,5,5,0.0,0,37,1680,5,Fully Furnished,Yes,Noida,North,Sector 18,793568,1.8,1.8,9.7,4.4,28.2,5729,37.9,,13905000.0
136,Apartment,4,5,1.0,13,35,1348,2,Fully Furnished,Yes,Bangalore,West,Whitefield,304174,5.8,0.2,8.3,1.3,33.8,3354,56.1,48.8,19732000.0
137,Apartment,2,2,1.0,4,18,885,18,Semi Furnished,Yes,Hyderabad,Central,Madhapur,696134,2.6,0.1,3.5,1.7,22.9,3176,10.3,75.6,9418000.0
138,Apartment,3,3,3.0,2,3,1125,1,Semi Furnished,Yes,Kolkata,East,Salt Lake,414817,4.7,3.8,9.5,15.5,32.4,25371,28.1,33.1,7619000.0
139,Independent House,1,2,2.0,12,32,568,7,Semi Furnished,Yes,Bangalore,West,HSR Layout,174041,0.8,0.3,1.4,10.1,52.1,2473,60.7,48.1,9824000.0
140,Apartment,4,3,2.0,14,38,1366,0,Semi Furnished,No,Noida,South,Greater Noida,503594,1.0,4.8,3.8,9.8,25.0,3972,41.2,53.2,14672000.0
141,Independent House,3,3,1.0,22,27,1196,2,Semi Furnished,No,Noida,Central,Sector 62,959263,11.7,2.9,7.6,3.8,34.2,7260,45.8,32.5,14566000.0
142,Apartment,5,5,1.0,1,4,1576,17,Semi Furnished,Yes,Delhi,Central,Dwarka,412740,7.8,3.7,3.4,4.9,22.7,10017,19.1,70.7,20762000.0
143,Apartment,5,5,2.0,1,1,1596,3,Semi Furnished,No,Hyderabad,South,Banjara Hills,316251,2.3,0.5,1.6,12.5,37.6,2984,52.3,54.2,19935000.0
144,Villa,1,1,2.0,27,38,749,7,Fully Furnished,Yes,Delhi,North,Vasant Kunj,537000,0.3,1.8,5.9,1.9,14.1,11393,21.5,72.4,25309000.0
145,Villa,2,1,0.0,3,37,1013,2,Unfurnished,Yes,Delhi,West,Dwarka,541993,0.3,2.9,0.3,6.2,14.7,9762,37.2,28.0,23770000.0
146,Villa,3,3,2.0,2,4,1216,6,Fully Furnished,Yes,Mumbai,West,Powai,630544,1.6,0.3,13.9,8.4,13.3,22286,44.5,69.1,46044000.0
147,Plot,4,4,1.0,16,19,1536,0,Fully Furnished,No,Pune,North,Hinjewadi,372377,1.5,3.3,0.8,0.3,26.8,7601,42.9,74.8,15204000.0
148,Apartment,4,5,1.0,0,6,1509,2,Semi Furnished,Yes,Hyderabad,North,Gachibowli,327516,7.4,3.3,2.5,3.3,17.0,2969,53.7,39.4,14948000.0
149,Apartment,5,5,2.0,5,18,1642,17,Semi Furnished,Yes,Mumbai,South,Andheri,499148,1.9,3.5,0.6,0.7,24.8,21211,29.0,61.2,36347000.0
150,Plot,3,3,1.0,0,12,1309,1,Fully Furnished,Yes,Delhi,West,Lajpat Nagar,178197,0.1,2.7,2.6,0.8,26.8,10164,51.1,63.1,15350000.0
151,Apartment,2,2,2.0,27,31,1024,1,Fully Furnished,Yes,Jaipur,East,Jagatpura,460536,2.1,1.4,2.7,2.8,52.1,6342,32.7,45.7,9667000.0
152,Apartment,1,1,2.0,36,39,644,4,Semi Furnished,Yes,Delhi,West,Dwarka,296550,8.0,0.5,3.4,5.9,30.7,9324,85.3,68.3,13129000.0
153,Apartment,2,2,3.0,4,5,920,11,Semi Furnished,No,Mumbai,Central,Bandra,115534,1.4,2.0,1.1,4.5,19.6,20939,57.1,45.2,18303000.0
154,Villa,3,3,1.0,1,19,1097,1,Unfurnished,Yes,Hyderabad,West,Jubilee Hills,879718,4.4,2.9,6.6,1.7,26.4,4772,,59.9,18521000.0
155,Apartment,4,4,2.0,19,34,1392,14,Unfurnished,Yes,Noida,East,Sector 18,581312,1.6,2.1,0.8,8.0,28.1,5050,38.5,47.4,12168000.0
